,URN,Offerings,Happiness,Inspections,Success,Support,Development
0,100029.0,0.0,0.671966238966,0.29388844481,0.0,0.0,0.0
1,100046.0,0.0,0.301167792653,0.222106275673,0.0,0.0,0.0
2,100051.0,0.0,0.0,0.0,0.0,0.21434153516,0.662568187836
3,100059.0,0.0104270424864,0.0104309418422,0.0104280669947,0.0104335986445,0.62922484104,0.0104336892873
4,100092.0,0.0,0.0,0.0,0.0651622141915,0.624194203249,0.299055045399
5,100094.0,0.39998108857,0.15157444055,0.0,0.0,0.0,0.432799094231
6,100096.0,0.0,0.0,0.0547456543479,0.0,0.0,0.932085336219
7,100115.0,0.0,0.193156335334,0.0,0.0,0.0,0.775561481389
8,100128.0,0.0,0.0,0.0,0.0,0.724555335032,0.265812536257
9,100129.0,0.0,0.0772080008665,0.0,0.0,0.873389116535,0.0
10,100141.0,0.0,0.0,0.932590996219,0.0,0.0,0.0
11,100142.0,0.0,0.0,0.0,0.0,0.968722368308,0.0
12,100151.0,0.0,0.0,0.0,0.0,0.390301224518,0.565547797044
13,100160.0,0.148775841293,0.0,0.0,0.0,0.833760820864,0.0
14,100167.0,0.0,0.807093336346,0.0,0.135159848829,0.0,0.0
15,100169.0,0.0,0.0,0.0,0.0,0.948468991913,0.0
16,100176.0,0.0,0.0,0.0,0.0,0.410554153078,0.0
17,100177.0,0.0510591903628,0.12828110708,0.0,0.0,0.297468064979,0.336345299715
18,100182.0,0.0,0.0,0.226846502095,0.0,0.691590274489,0.0554806240974
19,100229.0,0.0,0.0,0.0,0.0,0.0,0.795857869174
20,100234.0,0.0,0.505004908888,0.0,0.0,0.464933173224,0.0
21,100239.0,0.0,0.0,0.0,0.0,0.975668842294,0.0
22,100242.0,0.0,0.432167889504,0.0,0.0,0.536512564204,0.0
23,100250.0,0.0,0.0,0.239634016231,0.0,0.0,0.73827836516
24,100251.0,0.337075864921,0.0,0.0,0.0,0.121316924801,0.21974157431
25,100255.0,0.984631740157,0.0,0.0,0.0,0.0,0.0
26,100260.0,0.980538686619,0.0,0.0,0.0,0.0,0.0
27,100261.0,0.0156380293398,0.0156606623699,0.0156847632845,0.0156562812303,0.890421417669,0.0156495097074
28,100263.0,0.0729387377323,0.0,0.190246756414,0.0,0.0,0.0
29,100274.0,0.0179049521744,0.526075550794,0.017870754233,0.0178672829179,0.0178882446532,0.366616701781
30,100326.0,0.436949674758,0.0,0.0,0.0,0.359200168773,0.0
31,100328.0,0.747949505364,0.0,0.0,0.0,0.0,0.221995357904
32,100338.0,0.0,0.427856953337,0.532596085767,0.0,0.0,0.0
33,100345.0,0.18733139572,0.0,0.0,0.0,0.467327123157,0.0
34,100349.0,0.0,0.0,0.0,0.0,0.576349744524,0.24807068267
35,100350.0,0.0,0.0,0.0,0.0,0.0,0.399500644902
36,100352.0,0.0,0.0,0.0,0.0,0.612874962627,0.0622131841502
37,100357.0,0.0,0.118160898769,0.508512636613,0.315089908687,0.0,0.0
38,100381.0,0.0,0.0,0.0,0.0,0.767222197745,0.221226508844
39,100408.0,0.0,0.171724004666,0.37144665919,0.0,0.0,0.377470804256
40,100422.0,0.0,0.504516035212,0.203438382044,0.0,0.0,0.0
41,100425.0,0.0,0.0,0.0,0.0,0.584221202223,0.376262588103
42,100428.0,0.0,0.0,0.0,0.0,0.980951837919,0.0
43,100430.0,0.0,0.951349436745,0.0,0.0,0.0,0.0
44,100431.0,0.0,0.0,0.0,0.0,0.649084734803,0.342661625579
45,100438.0,0.0,0.601048303848,0.0,0.0,0.348897950294,0.0
