"URN","LinkURN","LinkName","LinkType","LinkEstablishedDate"
101903,126847,"Lady Margaret First School","Parent",""
101904,126850,"Little Ealing Middle School","Parent",""
101904,126849,"Little Ealing First School","Parent",""
101905,126829,"Oaklands Middle School","Parent",""
101905,126830,"Oaklands First School","Parent",""
101906,126854,"Perivale Middle School","Parent",""
101906,126853,"Perivale First School","Parent",""
101907,126855,"Stanhope First School","Parent",""
101907,126856,"Stanhope Middle School","Parent",""
101908,126859,"Viking First School","Parent",""
101908,126860,"Viking Middle School","Parent",""
101909,126866,"Wolf Fields First School","Parent",""
101909,126867,"Wolf Fields Middle School","Parent",""
101910,126838,"Featherstone Middle School","Parent",""
101910,126837,"Featherstone First School","Parent",""
101911,126841,"George Tomlinson First School","Parent",""
101911,126842,"George Tomlinson Middle School","Parent",""
101912,126851,"Montpelier First School","Parent",""
101912,126852,"Montpelier Middle School","Parent",""
101913,126857,"Tudor First School","Parent",""
101913,126858,"Tudor Middle School","Parent",""
101927,126876,"Betham's CofE Middle School","Parent",""
101927,126875,"Betham's CofE First School","Parent",""
101972,101973,"Newbury Unit","Parent",""
101988,101987,"The Eldon Federation Eldon Junior School","Parent","31-08-2015"
102023,126890,"Raynham Junior School","Parent",""
102023,126891,"Raynham Infant School","Parent",""
102024,126884,"Bush Hill Park Junior School","Parent",""
102024,126885,"Bush Hill Park Infant School","Parent",""
102025,126889,"Eversley Infant School","Parent",""
102025,126888,"Eversley Junior School","Parent",""
102053,126892,"Holy Family Covent RC School","Parent",""
102053,126893,"St Angela's RC School for Girls","Parent",""
102094,102093,"Lancasterian Junior School","Parent",""
102131,126905,"Broadwater Farm Junior School","Parent",""
102131,126902,"Broadwater Farm Infant School","Parent",""
102139,102138,"St Mary's CofE Junior School","Parent","11-01-2013"
102189,102210,"Belmont First School","Parent","01-09-2009"
102195,102208,"Priestmead First School and Nursery","Parent","01-01-2010"
102199,102206,"Longfield Infant School and Nursery","Parent","01-09-2011"
102202,102217,"Grange Nursery and Infant School","Parent","01-09-2011"
102204,102190,"Cannon Lane Junior School","Parent","01-09-2013"
102211,102192,"Elmgrove Junior School","Parent","01-09-2011"
102213,102196,"Roxbourne Junior School","Parent","01-01-2013"
102214,102198,"Stanburn Junior School","Parent - merged","31-12-2013"
102215,102200,"Weald Junior School","Merged - expansion in school capacity and changer in age range","01-04-2015"
102216,102201,"West Lodge Middle School","Parent","01-09-2009"
102220,102221,"Welldon Park Junior School","Parent","17-08-2015"
102239,135469,"Harrow Collegiate","Sixth Form Centre Link","01-09-2009"
102272,102323,"Dunningford Primary School","Parent","01-09-2009"
102276,102305,"The Manor Primary School","Parent","01-09-2009"
102291,102290,"Clockhouse Junior School","Parent",""
102308,102276,"Hylands Primary School","Child","01-09-2009"
102312,102311,"Parsonage Farm Junior School","Parent",""
102324,126918,"Rainham Junior School","Parent",""
102324,126919,"Rainham Infants' School","Parent",""
102325,126921,"Hilldene Infants' School","Parent",""
102325,126920,"Hilldene Junior School","Parent",""
102344,144095,"Gaynes School","Child","31-03-2017"
102369,102410,"Breakspear Infant and Nursery School","Parent","01-09-2013"
102373,102372,"Colham Manor Junior School","Parent",""
102416,126934,"Ruislip Gardens Junior School","Parent",""
102416,126935,"Ruislip Gardens Infant School","Parent",""
102522,126945,"Berkeley Infant and Nursery School","Parent",""
102522,126942,"Berkeley Junior School","Parent",""
102522,144097,"Berkeley Primary School","Child","31-03-2017"
102585,102584,"Christ Church CofE Junior School","Parent",""
102673,136509,"RR6","Sixth Form Centre Link","22-03-2011"
102679,136509,"RR6","Sixth Form Centre Link","22-03-2011"
102699,126972,"Ravensbury School","Parent",""
102699,126973,"William Wilberforce School","Parent",""
102715,144142,"Curwen Primary and Nursery School","Child","31-03-2017"
102727,144141,"Kensington Primary School","Child","31-03-2017"
102739,144140,"Ravenscroft Primary School","Child","31-03-2017"
102763,126979,"Essex Junior School","Parent",""
102763,126978,"Essex Infant School","Parent",""
102770,126998,"St Francis' RC Infant School","Parent",""
102777,142646,"Rokeby School","Child","29-02-2016"
102778,142647,"Lister Community School","Child","29-02-2016"
102785,142644,"Sarah Bonnell School","Child","29-02-2016"
102820,102821,"William Torbitt Infant School","Parent",""
