"URN","LinkURN","LinkName","LinkType","LinkEstablishedDate"
133556,103708,"St Mary's Catholic Primary School","Parent",""
133559,108777,"Valley Road Junior School","Parent",""
133559,108778,"Valley Road Infant School","Parent",""
133559,144221,"Valley Road Community Primary School","Child","31-03-2017"
133561,141332,"Southern Consortium Sixth Form","Sixth Form Centre Link","10-09-2014"
133572,144240,"New Horizons School","Child","31-03-2017"
133573,115005,"Felmore Infant School","Parent",""
133573,115011,"Felmore Junior School","Parent",""
133574,100883,"Elizabeth Landsbury Nursery School","Parent",""
133574,100925,"Susan Lawrence Infants' School","Parent",""
133574,100924,"Susan Lawrence Junior School","Parent",""
133576,106232,"Hurst Methodist Junior School","Parent",""
133576,106200,"Hurst Infant School","Parent",""
133580,110073,"Churchmead School","Parent",""
133584,100600,"Loughborough Junior School","Parent",""
133584,100603,"Loughborough Infant School","Parent",""
133600,121868,"Croyland Infant School","Parent",""
133600,121867,"Croyland Junior School","Parent",""
133601,121830,"Irchester Infant School","Parent",""
133601,121829,"Irchester Junior School","Parent",""
133609,121288,"Hob Moor Infant School","Parent",""
133609,121289,"Hob Moor Junior School","Parent",""
133615,104675,"St Christopher's Catholic Infant School","Parent",""
133615,104647,"St Christopher's Catholic Junior School","Parent",""
133619,109803,"Sandy Lane Junior School","Parent",""
133619,109804,"Sandy Lane Infant and Nursery School","Parent",""
133621,108237,"Castleford Henry Moore Junior School","Parent",""
133621,108239,"Castleford Smawthorne Infant School","Parent",""
133622,119216,"Burnley Coal Clough Primary School","Parent",""
133622,119259,"Burnley Hargher Clough Junior School","Parent",""
133622,119069,"Myrtle Bank Nursery School","Parent",""
133622,119214,"Burnley Myrtle Bank Infant School","Parent",""
133637,106754,"Stainforth Infant School","Parent",""
133637,130306,"Stainforth Junior School","Parent",""
133639,114675,"Castledean School","Parent",""
133639,114695,"Uplands School","Parent",""
133645,119394,"Bamber Bridge Methodist Voluntary Controlled Primary School","Parent",""
133645,119365,"Bamber Bridge St Saviour's Church of England Primary School","Parent",""
133656,142938,"Seabrook College","Child","03-06-2016"
133659,111569,"Ayresome Junior School","Parent",""
133659,111570,"Ayresome Infant School","Parent",""
133660,131441,"Poplar Grove School","Expansion","21-10-2014"
133662,131114,"Brockwell Primary School","Parent",""
133662,100562,"Effra Primary School","Parent",""
133669,100273,"Saint Dominic Roman Catholic Infant School","Parent",""
133669,100265,"Saint Dominic Roman Catholic Junior School","Parent",""
133671,107555,"St Peter's CofE VA Infant School, Sowerby Bridge","Parent",""
133671,107526,"Newlands Junior School","Parent",""
133672,111445,"Sir Thomas Boteler High School","Parent",""
133675,115844,"Aster House Pupil Referral Unit","Parent",""
133675,115846,"Chestnut House Pupil Referral Unit","Parent",""
133675,115845,"The Compass Centre","Parent",""
133676,111201,"Hood Manor Community Primary School","Parent",""
133677,110967,"Alderman Bolton Infant School","Parent",""
133677,110966,"Alderman Bolton Junior School","Parent",""
133680,108712,"Ellison CofE Junior Mixed and Infants School","Parent",""
133680,108713,"St Peter's CofE Primary School","Parent",""
133688,119885,"Royal Cross Primary School for the Deaf","Parent",""
133689,132108,"Bristol Hospital Education Service","Parent",""
133691,104540,"Maidford Primary School","Parent",""
133691,130294,"Colwell Primary School","Parent",""
133697,104244,"T P Riley Community School","Parent",""
133699,110709,"Thongsley Junior School","Parent",""
133699,110708,"Thongsley Infant School","Parent",""
133700,117750,"Lincoln Gardens Junior School","Parent",""
133700,117751,"Lincoln Gardens Infant School","Parent",""
133701,114142,"Eden Hall Infant School","Parent",""
133701,114141,"Eden Hall Junior School","Parent",""
133702,104520,"Birchfield Primary School","Parent",""
133704,116118,"Newlands Junior School","Parent",""
133704,116119,"Newlands Infant School","Parent",""
133707,102090,"Down Lane Junior School","Parent",""
133707,102103,"Parkhurst Infant School","Parent",""
133708,123571,"The Orleton Park School","Parent",""
133710,105640,"Fitton Hill Junior School","Parent",""
133710,105641,"Fitton Hill Infant and Nursery School","Parent",""
133711,105628,"Clarksfield Junior School","Parent",""
133711,105629,"Clarksfield Infant and Nursery School","Parent",""
133712,105654,"Yew Tree Junior School","Parent",""
133712,105657,"Yew Tree Infant School","Parent",""
133718,133340,"Wakefield Pathways School","Parent","27-01-2016"
133725,108732,"Springfield School","Parent",""
133725,108734,"Hedworthfield Comprehensive School","Parent",""
133726,112173,"Hensingham Junior School","Parent",""
133726,112168,"Hensingham Infants' School","Parent",""
133727,112367,"Bishop Goodwin Memorial CofE Junior School","Parent",""
133727,112368,"Bishop Goodwin CofE Nursery and Infant School","Parent",""
133729,103287,"Yenton Infant School","Parent",""
133729,103283,"Yenton Junior School","Parent",""
133731,124914,"Dene Nursery School","Parent",""
133731,124915,"Shepherds Hill Nursery School","Parent",""
133732,122037,"St John the Baptist CofE Lower School","Parent",""
133744,133745,"Clatterford Tuition Centre","Parent","01-04-2015"
133754,134313,"The Base","Parent",""
133756,110292,"King's Wood Junior School","Parent",""
133756,110233,"King's Wood Infant School","Parent",""
133757,123401,"Orleton Lane Infant School","Parent",""
133757,123408,"Park Junior School","Parent",""
133758,108225,"Wakefield Snapethorpe Junior School","Parent",""
133758,108222,"Wakefield Snapethorpe Infant School","Parent",""
133758,108217,"Waterton Junior and Infants School","Parent","01-01-2012"
133759,103396,"The Beeches Infant and Nursery School","Parent",""
133759,103393,"Frogmill Community Junior School","Parent",""
133766,123996,"Townsend Primary School","Parent",""
133766,124224,"Marychurch CofE (C) Primary School","Parent",""
133766,142640,"Kingsland CofE(C) Primary School","Child","29-02-2016"
133768,111750,"Keldholme School","Parent",""
133768,111738,"Langbaurgh School","Parent",""
133769,101469,"Thamesmead Community College","Parent",""
133769,101432,"Abbey Primary School","Parent",""
133769,101435,"Southlake Primary School","Parent",""
133770,105479,"Ashbury Community Primary School","Parent",""
133770,105391,"Bank Meadow Primary School","Parent",""
133773,117203,"Haslewood Junior School","Parent",""
133773,117399,"St Paul's Voluntary Controlled Church of England Infants' School","Parent",""
133774,102680,"St Thoma's of Canterbury Catholic Middle School","Parent",""
133782,110654,"The Gordon Fendick Junior School","Parent",""
133782,110805,"St Augustine CofE VC Infant School","Parent",""
133782,143836,"Orchards Church of England Primary School","Child","07-11-2016"
133893,113211,"Milber Community Junior School","Parent",""
133893,113237,"Milber Community Infant School and Nursery","Parent",""
133925,105143,"Bridgewater Nursery School","Parent",""
133925,105184,"Queen Street Primary School","Parent",""
133926,105181,"Fourgates Primary School","Parent",""
133926,105210,"St John's CofE Primary School, Wingates","Parent",""
133929,105319,"St John's Church of England Primary School, Bury","Parent",""
133929,105320,"St Mark's Church of England Primary School","Parent",""
133930,110655,"Milton Road Junior School","Parent",""
133930,110656,"Milton Road Infant School","Parent",""
133931,102826,"Oakdale Junior School","Parent",""
133932,102827,"Oakdale Infants' School","Parent",""
133934,102804,"Gearies Infants' School","Parent",""
133934,133933,"Gearies Junior School","Parent - merged","31-08-2013"
133935,102824,"Churchfields Junior School","Parent",""
133936,102825,"Churchfields Infants' School","Parent",""
133938,102814,"Parkhill Infants' School","Parent",""
133939,102813,"Parkhill Junior School","Parent",""
133943,116252,"Sinclair Infant and Nursery School","Parent",""
133943,116254,"Sinclair Junior School","Parent",""
133944,105318,"St Chad's Church of England Junior School","Parent",""
133944,105286,"Fishpool Infant School","Parent",""
133946,121703,"Oaklands School","Parent",""
133946,121705,"Lowfield School","Parent",""
133957,114775,"Richmond Avenue Junior School","Parent",""
133957,114783,"Richmond Infants' and Nursery School","Parent",""
133961,118513,"Bybrook Junior School","Parent",""
133961,118451,"Bybrook Infant School","Parent",""
133967,125827,"Langley Green Middle School","Parent",""
133967,125869,"Langley Green First School","Parent",""
133971,125906,"Southgate Middle School","Parent",""
133971,125900,"Southgate First School","Parent",""
133973,125904,"Northgate Primary","Parent",""
133973,125897,"Northgate First School","Parent",""
133980,105166,"Wolfenden Primary School","Parent",""
133980,105151,"Chalfont Primary Community School","Parent",""
133982,112587,"Brooklands Junior School","Parent",""
133982,112588,"Brooklands Infant School","Parent",""
133987,119422,"St Andrew's Church of England Primary School","Parent",""
133987,119500,"St Bartholomew's CofE Primary School","Parent",""
133994,106984,"Arbourthorne Junior School","Parent",""
133994,106985,"Arbourthorne Nursery and Infant School","Parent",""
133996,103179,"Yardley Junior School","Parent",""
133996,103180,"Yardley Infant School","Parent",""
134003,132166,"Mitcham Vale School","Parent",""
134008,101620,"Blenheim Junior School","Parent",""
134008,101621,"Blenheim Infant School","Parent",""
134009,100356,"Larmenier RC Infants' School","Parent",""
134009,100348,"Sacred Heart Junior School","Parent",""
134011,118430,"Wakeley Junior School","Parent",""
134011,118424,"Meredale Infant School","Parent",""
134019,103689,"Sir Henry Parkes Primary School","Parent",""
134019,103660,"Alderman Harris Primary School","Parent",""
134022,114874,"Lincewood Infant School","Parent",""
134022,114868,"Lincewood Junior School","Parent",""
134028,122557,"Ordsall Village Nursery and Infant School","Parent",""
134028,122558,"Ordsall Junior School","Parent",""
134043,121121,"Necton Church of England First School","Parent",""
134043,121100,"Necton Voluntary Controlled Middle School","Parent",""
134049,121105,"Canon Pickering Church of England Voluntary Controlled Junior School","Parent",""
134049,121124,"Harleston, Dove Church of England Voluntary Aided First School","Parent",""
134065,115006,"Nabbotts Junior School","Parent",""
134065,115015,"The Nabbotts Infant School","Parent",""
134076,111583,"Whinney Banks Junior School","Parent",""
134076,111584,"Whinney Banks Infant School","Parent",""
134077,113712,"Beechcroft Infant School","Parent",""
134077,144298,"Beechcroft St Pauls CofE VA Primary School","Child","28-02-2017"
134078,114011,"Pelton Infant School","Parent",""
134078,114010,"Pelton Junior School","Parent",""
134080,113714,"Westhaven Junior School","Parent",""
134080,113720,"Westhaven Community Infant School","Parent",""
134083,103185,"Springfield Infant School","Parent",""
134083,103184,"Springfield Junior School","Parent",""
134094,103230,"Mapledene Junior School","Parent",""
134094,103231,"Mapledene Infant School (NC)","Parent",""
134096,111649,"Alderman William Jones Primary School","Parent",""
134096,111648,"Attlee Road Primary School","Parent",""
134098,103220,"Kings Heath Infant and Nursery School","Parent",""
134098,103219,"Kings Heath Junior School","Parent",""
134099,103276,"Wheelers Lane Junior School","Parent",""
134099,103277,"Wheelers Lane Infant School","Parent",""
134102,103327,"James Watt Junior School","Parent",""
134102,103331,"James Watt Infant School","Parent",""
134117,112200,"Priory Grove Infant School","Parent",""
134117,112201,"Abbotsmead Junior School","Parent",""
134126,143552,"The Brunel Academy","Child","14-09-2016"
134126,144031,"The Burton Academy","Child","17-01-2017"
134139,112601,"North Wingfield Junior School","Parent",""
134139,112769,"North Wingfield Infant School","Parent",""
134155,109550,"Ramridge Infant School","Parent",""
134155,109549,"Ramridge Junior School","Parent",""
134160,100910,"Malmesbury Infant School","Parent",""
134160,100909,"Malmesbury Junior School","Parent",""
134171,113075,"Bradley Rowe First School","Parent",""
134171,113076,"Bradley Rowe Middle School","Parent",""
134172,113078,"Foxhayes First School","Parent",""
134172,113121,"Exwick Middle School","Parent",""
134184,108883,"Davenport School","Parent",""
134184,108885,"Wellbank School","Parent",""
134185,101430,"Sidcup Hill Primary School","Parent",""
134185,101442,"North Cray Primary School","Parent",""
134187,108677,"Westoe Infants' School","Parent",""
134187,108674,"Mowbray Junior Mixed School","Parent",""
134190,115815,"Dean Hall School","Parent",""
134190,115822,"Oakdene School","Parent",""
134193,110939,"The Manor Special School","Parent",""
134193,110937,"Littleton House School","Parent",""
134195,105370,"Manchester Jewish Grammar School","Parent",""
134199,126496,"Wyvern College","Parent",""
134202,122642,"Farnsfield Walter d'Ayncourt Community School","Parent",""
134202,122800,"Farnsfield CofE Aided Primary School","Parent",""
134214,112171,"Valley Junior School","Parent",""
134214,112172,"Valley Infant School and Nursery","Parent",""
134217,101872,"Northolt Park Infant School","Parent",""
134220,105782,"Sparrow Hill Primary and Community School","Parent",""
134220,105775,"Oakenrod Primary School","Parent",""
134221,109291,"St George Community College","Parent",""
134223,111743,"Coulby Newham School","Parent",""
134223,111752,"Brackenhoe School","Parent",""
134224,105567,"Ducie High School","Parent",""
134225,100848,"Warwick Park School","Parent",""
134226,101551,"Willesden High School","Parent",""
134230,108697,"Cheviot Junior School","Parent",""
134230,108680,"Highfield Infants' School","Parent",""
134230,108670,"Downhill Infants' and Nursery School","Parent",""
134235,130973,"Ambler Junior School","Parent",""
134235,106736,"Nightingale Infant School","Parent",""
134236,106671,"Woodlands Infant School","Parent",""
134236,106709,"Woodlands Junior School","Parent",""
134237,105227,"St Andrew's RC Primary School, Breightmet, Bolton","Parent",""
134237,105224,"St Osmund's RC Primary School, Breightmet, Bolton","Parent",""
134238,109213,"St Nicholas CofE Junior School","Parent",""
134238,109204,"St Nicholas CofE Infant School","Parent",""
134241,108897,"Novers Hill Nursery School","Parent",""
134245,104618,"St Margaret's Anfield CofE Junior School","Parent",""
134245,104617,"St Margaret's CofE Infants' School","Parent",""
134248,111243,"Hoole All Saints' CofE Infant and Nursery School","Parent",""
134248,111242,"Hoole St James's CofE Junior School","Parent",""
134249,111155,"Stanlaw Abbey Community School","Parent",""
134249,111224,"Stanney Grange Community Primary School","Parent",""
134250,104626,"All Saints Catholic Junior School","Parent",""
134250,104627,"All Saints Catholic Infant and Nursery School","Parent",""
134253,122946,"Djanogly City Technology College","Parent",""
134254,101755,"Keston Infant and Nursery School","Parent",""
134254,101754,"Keston Junior School","Parent",""
134259,111575,"Linthorpe Junior School","Parent",""
134259,111576,"Linthorpe Infant School","Parent",""
134262,123369,"Hadley Infant School","Parent",""
134262,123368,"Hadley Junior School","Parent",""
134272,110944,"St George's School","Parent",""
134272,110950,"Clayton School","Parent",""
134273,100313,"Marshcroft Early Years Centre","Parent",""
134273,100342,"Normand Park Primary School","Parent",""
134278,108191,"Pontefract Cobblers Lane Infant School","Parent",""
134278,108180,"Pontefract Cobblers Lane Junior School","Parent",""
134279,103285,"West Heath Junior School","Parent",""
134279,103274,"West Heath Infant School","Parent",""
134281,103239,"Paganel Infant School (NC)(SU)","Parent",""
134281,103238,"Paganel Junior School","Parent",""
134283,106258,"Alder Community High School","Parent",""
134302,107013,"Sharrow Nursery and Infant School","Parent",""
134302,107012,"Sharrow Junior School","Parent",""
134304,109879,"Great Hollands Junior School","Parent",""
134304,109880,"Great Hollands Infant and Nursery School","Parent",""
134305,120032,"Rolleston Infant School","Parent",""
134305,120033,"Rolleston Junior School and Special Unit","Parent",""
134314,100445,"St Mary Magdalene CofE Primary School","Parent",""
134317,107812,"Yeadon South View Infant School","Parent",""
134317,107811,"Yeadon South View Junior School","Parent",""
134319,107835,"Methley Junior School","Parent",""
134319,107839,"Methley Infant and Nursery School","Parent",""
134325,118237,"Swale Centre","Parent",""
134343,104855,"Roberts Primary School","Parent",""
134343,104852,"Orrell Primary School","Parent",""
134353,124239,"Walhouse CofE (C) Junior School","Parent",""
134353,123960,"Cannock Nursery School","Parent",""
134353,124330,"John Wood CofE (A) Infants School","Parent",""
134369,101871,"Northolt Primary School","Parent",""
134369,101929,"The Compton High School and Sports College","Parent",""
134371,104873,"Beach Road Primary School","Parent",""
134371,104896,"William Gladstone Church of England Primary School","Parent",""
134376,108184,"Ossett South Parade Infant School","Parent",""
134376,108187,"Ossett South Parade Junior School","Parent",""
134405,107856,"West Garforth Junior School","Parent",""
134405,107814,"Garforth Barley Hill Infant School","Parent",""
134406,107818,"Blackgates Infant School","Parent",""
134406,107836,"Blackgates Primary School","Parent",""
134407,107822,"Drighlington Junior School","Parent",""
134407,107857,"Drighlington Infant School","Parent",""
134408,107829,"Waterloo Junior School","Parent",""
134408,107837,"Waterloo Infant School","Parent",""
134423,110212,"Bow Brickhill First School","Parent",""
134426,103645,"Howes Community Primary School","Parent",""
134471,104568,"Pinehurst Infant School","Parent",""
134471,104567,"Pinehurst Junior School","Parent",""
134473,122192,"Cramlington Cragside Church of England Controlled First School","Parent",""
134475,101726,"Kensington Avenue Junior School","Parent",""
134475,101727,"Kensington Avenue Infant School","Parent",""
134476,103408,"St Peter's Church of England Junior School","Parent",""
134476,103409,"St Peter's Church of England Infant and Nursery School","Parent",""
134479,105517,"Sacred Heart Roman Catholic Junior School Manchester","Parent",""
134479,105518,"Sacred Heart Roman Catholic Infant School Manchester","Parent",""
134507,134470,"Orchard Primary School","Parent",""
134513,107971,"Wyther Park Primary School","Parent",""
134513,107978,"Sandford Primary School","Parent",""
134515,118463,"Downsview Infant School","Parent",""
134515,118443,"Downsview Junior School","Parent",""
134516,107931,"Whitebridge Primary School","Parent",""
134516,107936,"Osmondthorpe Primary School","Parent",""
134525,109425,"Orchard Centre","Parent","01-04-2013"
134527,115489,"Grange Infant School","Parent",""
134527,115493,"Grange Junior School","Parent",""
134532,108834,"Glebe Village Primary School and Nursery","Parent",""
134532,108807,"Washington Village Primary School","Parent",""
134533,103755,"Corley (Coventry) School","Parent",""
134538,106686,"Owston Skellow Infant School","Parent",""
134538,106716,"Owston Skellow Junior School","Parent",""
134557,125059,"Ambleside Junior School","Parent",""
134557,125050,"Swansmere School","Parent",""
134598,119582,"St Luke's Catholic Primary School","Parent",""
134598,119580,"St Matthew's Catholic Primary School, Skelmersdale","Parent",""
134598,119581,"St Mark's Catholic Primary School, Skelmersdale","Parent",""
134599,119327,"Fairlie Community Primary School","Parent",""
134599,119308,"Skelmersdale Elmers Green Community Primary School","Parent",""
134599,119317,"Clough Fold Primary School","Parent",""
134603,119302,"Skelmersdale Brookfield Community Primary School","Parent",""
134603,119210,"Skelmersdale Park Primary School","Parent",""
134621,111545,"Fairfield Junior School","Parent",""
134621,111546,"Fairfield Infant School","Parent",""
134623,131730,"The Taxal Centre","Parent",""
134623,132967,"Individual Teaching and Support Service","Parent",""
134629,112721,"Hardwick Junior School","Parent",""
134629,112722,"Hardwick Infant and Nursery School","Parent",""
134635,134612,"The Learning Trust","Parent","01-09-2010"
134635,136218,"Clissold Park School","Parent","01-01-2013"
134639,133618,"Lubavitch House School (Junior Girls')","Parent",""
134644,108773,"Pallion Primary School","Parent",""
134644,108768,"Havelock Community Primary School","Parent",""
134646,105255,"The Deane School","Parent",""
134652,116238,"Worting Infant School","Parent",""
134652,116239,"Worting Junior School","Parent",""
134657,113997,"Parkside Infant School","Parent",""
134657,113999,"Princess Road Junior School","Parent",""
134657,114000,"Camden Square Infants' and Nursery School","Parent",""
134659,107484,"Moorside Junior School","Parent",""
134659,107485,"Moorside Infant and Nursery School","Parent",""
134661,104759,"Carr Mill Infant and Nursery School","Parent",""
134661,104767,"Carr Mill Junior School","Parent",""
134663,114342,"Warwick Road School","Parent",""
134665,124122,"Ravenhill Primary School","Parent",""
134665,124065,"Nursery Fields Primary School","Parent",""
134666,124124,"Flaxley Primary School","Parent",""
134666,124123,"Pear Tree Community Primary School","Parent",""
134677,101305,"Woodcroft Junior School","Parent",""
134677,101306,"Woodcroft Infant School","Parent",""
134680,102118,"Woodlands Park Junior School","Parent",""
134680,102119,"Woodlands Park Infant School","Parent",""
134681,102101,"North Harringay Junior School","Parent",""
134681,102102,"North Harringay Infant School","Parent",""
134685,117318,"Alban Wood Infant and Nursery School","Parent",""
134685,117191,"Alban Wood Junior School","Parent",""
134687,106592,"Wombwell Oakfield Junior School","Parent",""
134687,106593,"Wombwell King's Road Infant School","Parent",""
134701,109531,"Beechwood Infant School","Parent",""
134701,109530,"Beechwood Junior School","Parent",""
134705,111634,"Cromwell Road Primary School","Parent",""
134705,111652,"Beech Grove Primary School","Parent",""
134707,116771,"Worcester, Elbury Mount Primary School","Parent",""
134707,143416,"Carnforth School","Child","08-08-2016"
134716,117357,"Five Oaks Primary and Nursery School","Parent",""
134716,117196,"Hazelgrove Primary School","Parent",""
134719,114191,"Whinfield Infant School","Parent",""
134719,114192,"Whinfield Junior School","Parent",""
134722,104684,"St Gerard's Catholic Primary School","Parent",""
134722,104686,"Mother Teresa Catholic Primary School","Parent",""
134722,104637,"Our Lady of Reconciliation Catholic Primary School","Parent",""
134723,104630,"Friary Catholic Primary School","Parent",""
134724,112953,"High View School and Technology Centre","Parent",""
134727,121769,"Lidgett Grove School","Parent",""
134727,121767,"Northfield School","Parent",""
134727,121768,"Fulford Cross School","Parent",""
134727,121781,"Galtres School","Parent",""
134728,121767,"Northfield School","Parent",""
134728,121781,"Galtres School","Parent",""
134728,121768,"Fulford Cross School","Parent",""
134728,121769,"Lidgett Grove School","Parent",""
134731,125090,"St Anne's Primary 3-7 School","Parent",""
134731,125217,"St Mary's CofE Junior School","Parent",""
134732,125054,"Court Lodge Infant and Nursery School","Parent",""
134732,125024,"Sangers Junior School","Parent",""
134734,115987,"Holbury Junior School","Parent",""
134734,116029,"Holbury Infant School","Parent",""
134739,112140,"Harrington Junior School","Parent",""
134739,112148,"Garth Infant School","Parent",""
134739,112141,"Harrington Infant School","Parent",""
134740,109891,"The Pines Infant and Nursery School","Parent",""
134740,109895,"The Pines Junior School","Parent",""
134741,117856,"Keyingham Junior School","Parent",""
134741,117890,"Keyingham Infant School","Parent",""
134742,106401,"Scot Lane Community Primary School","Parent",""
134742,106400,"Pemberton Primary and Nursery School","Parent",""
134745,103687,"Willenhall Wood Primary School","Parent",""
134745,103678,"Chace Primary School","Parent",""
134751,107010,"Pipworth Nursery Infant School","Parent",""
134751,107009,"Pipworth Junior School","Parent",""
134758,135243,"Bridgwater Centre","Child",""
134768,103770,"Abberley Street Pupil Referral Unit","Parent","01-09-2010"
134773,112905,"St Joseph's Catholic and Church of England Primary","Parent",""
134774,103359,"New Oscott Junior School","Parent",""
134774,103355,"New Oscott Infant and Nursery School","Parent",""
134776,125834,"St Leonard's Community Infant School, Horsham","Parent",""
134776,125833,"Chesworth Junior School","Parent",""
134777,124042,"Winshill Infant School","Parent",""
134777,124048,"Bend Oak Junior School","Parent",""
134779,106086,"Woodley Junior School","Parent",""
134779,106085,"Woodley Infant School","Parent",""
134780,131728,"Westwood Primary School","Parent",""
134783,119049,"St Thoma's School","Parent",""
134783,119054,"St Bartholomew's School","Parent",""
134784,105650,"Stansfield Road Junior School","Parent",""
134784,105651,"Stansfield Road Infant and Nursery School","Parent",""
134785,104851,"Thomas Gray Nursery and Infant School","Parent",""
134785,104854,"Thomas Gray Junior School","Parent",""
134789,112373,"St Kentigern's CofE Infant and Nursery School","Parent",""
134789,112278,"Trinity CofE School","Parent",""
134791,125876,"Buckingham Community Middle School","Parent","01-09-2008"
134791,125909,"Kingston Buci First School","Parent","01-09-2008"
134797,102427,"Evelyns School","Parent",""
134798,101344,"The Edgware School","Parent",""
134814,122078,"Lings Upper School","Parent",""
134840,103182,"Clifton Junior School","Parent",""
134840,103183,"Clifton Infant School","Parent",""
134841,122719,"Brinkhill Primary School","Parent",""
134841,122412,"Brooksby Primary and Nursery School","Parent",""
134841,122718,"Greencroft Primary School","Parent",""
134842,122424,"Arkwright Primary and Nursery School","Parent",""
134842,122479,"Meadows Primary School","Parent",""
134844,116644,"Medecroft Opportunity Centre","Parent",""
134845,106196,"Clarendon Fields Primary School","Parent",""
134845,106186,"Globe Lane Primary School","Parent",""
134846,133997,"School Room","Parent",""
134846,133988,"Brent Tuition Centre","Parent",""
134846,133998,"Barnaby Bear Ward School Room At Central Middlesex Hospital","Parent",""
134846,134264,"Centre for Staff Development","Parent",""
134852,123439,"Leegomery Junior School","Parent",""
134852,123440,"Leegomery Infant School","Parent",""
134853,111558,"Harewood Infant School","Parent",""
134853,111555,"Harewood Junior School","Parent",""
134855,114112,"Eldon Lane Primary School","Parent",""
134855,114105,"Dene Valley Primary School","Parent",""
134857,118303,"Shepway Junior School","Parent",""
134857,118304,"Shepway Infant School","Parent",""
134860,115271,"Eastwood Junior School","Parent",""
134860,115270,"Eastwood Infant and Nursery Foundation School","Parent",""
134861,114782,"Edwards Hall Infant School","Parent",""
134861,114781,"Edwards Hall Junior School","Parent",""
134865,104841,"Hamblett School","Parent",""
134865,104840,"Hurst School","Parent",""
134866,111091,"Pooltown Community Junior School","Parent",""
134866,111099,"Atherton Nursery and Infant School","Parent",""
134867,117763,"Oakfield Primary School","Parent",""
134867,117778,"Sunway Infant School","Parent",""
134870,134871,"Hope, Epsom","Parent","01-01-2016"
134883,106061,"Moorfield Junior School","Parent",""
134883,106060,"Moorfield Infant School","Parent",""
134884,108130,"Milestone School","Parent",""
134884,108132,"Victoria Park School","Parent",""
134885,108126,"Grafton School","Parent",""
134885,108131,"The North West Silc","Parent",""
134885,108128,"Penny Field School","Parent",""
134892,113695,"Hillbourne Community Middle School","Parent",""
134892,113697,"Hillbourne Community First School and Nursery","Parent",""
134896,125886,"Templars First School, Sompting","Parent",""
134896,125925,"White Styles Middle School","Parent",""
134897,110977,"Blacon Infant School","Parent",""
134897,110978,"Blacon Hall Junior School","Parent",""
134898,124117,"Seabridge Infants' School","Parent",""
134898,124144,"Seabridge Junior School","Parent",""
134899,109849,"Polehampton Junior School","Parent",""
134903,100806,"Peckham Rye Primary School","Parent",""
134904,118440,"Fair View Community Infant School","Parent",""
134904,118435,"Fair View Community Junior School","Parent",""
134906,119772,"Queen's Park Technology College","Parent",""
134913,107988,"Great and Little Preston Church of England Voluntary Controlled Infant School","Parent",""
134913,107816,"Great and Little Preston Junior School","Parent",""
134914,108954,"Romney Avenue Infant and Nursery School","Parent",""
134914,108953,"Romney Avenue Junior School","Parent",""
134917,109064,"Keynsham Primary School","Parent",""
134917,109075,"Temple Primary School","Parent",""
134924,125593,"Kingsbury Junior School","Parent",""
134924,125592,"Kingsbury Infant School","Parent",""
134928,115671,"St Peter's Catholic Infant School","Parent",""
134928,115672,"St Peter's Catholic Junior School","Parent",""
134929,102227,"St John's CofE Middle School","Parent",""
134929,102228,"St John's CofE First School","Parent",""
134930,122526,"Netherfield Primary School","Parent",""
134930,122527,"Carlton Netherfield Infant and Nursery School","Parent",""
134942,120961,"Blackdale Middle School, Norwich","Parent",""
134942,120956,"Northfields First and Nursery School, Norwich","Parent",""
134945,115942,"Romsey Junior School","Parent",""
134945,115941,"Romsey Infant School","Parent",""
134955,120930,"Bignold Middle School","Parent",""
134955,120931,"Bignold First School and Nursery","Parent",""
134956,120950,"Thorpe Hamlet First and Nursery School, Norwich","Parent",""
134956,120952,"Wellesley First School","Parent",""
134956,144144,"Lionwood Infant and Nursery School","Child","31-03-2017"
134958,120939,"Mile Cross Middle School","Parent",""
134958,120947,"Norman First and Nursery School, Norwich","Parent",""
134958,120966,"Dowson First School","Parent",""
134960,120933,"Catton Grove Middle School","Parent",""
134960,120934,"Catton Grove First and Nursery School, Norwich","Parent",""
134964,120929,"Avenue First School","Parent",""
134964,120964,"Heigham Park First School","Parent",""
134965,120941,"Lakenham Middle School","Parent",""
134965,120942,"Lakenham First School and Nursery, Norwich","Parent",""
134966,105771,"Hill Top Community Primary School","Parent",""
134966,105772,"Queensway Community Primary School","Parent",""
134967,119252,"Moor Park Junior School","Parent",""
134967,119253,"Moor Park Infant School","Parent",""
134971,119028,"Laleham School","Parent",""
134971,119063,"Gap House School","Parent",""
134973,107819,"Morley Elmfield Infant School","Parent",""
134973,107853,"Cross Hall Junior School","Parent",""
134973,107821,"Cross Hall Infant School","Parent",""
134977,126437,"Steeple Langford Church of England Aided First School","Parent",""
134977,126321,"Codford Church of England Primary School","Parent",""
134984,109766,"Highways Pupil Referral Unit","Parent",""
134984,109769,"Seagulls Pupil Referral Unit","Parent",""
134984,133412,"The Boundary Pupil Referral Unit","Parent",""
134984,134873,"Lavender House","Parent",""
134984,134920,"Dolphins","Parent",""
134987,113790,"St Mark's Church of England Infant School, Highcliffe","Parent",""
134987,113737,"Highcliffe Junior School","Parent",""
134988,104924,"St Peter's Church of England Primary School","Parent",""
134988,104923,"Holy Trinity CofE Primary School","Parent",""
134989,119718,"Brierfield Mansfield High School","Parent",""
134989,119762,"Nelson Walton High School","Parent",""
134989,119766,"Nelson Edge End High School","Parent",""
